@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
40,1,5,789
45,1,5,757
50,1,5,721
55,1,5,644
60,1,5,674
70,1,5,688
80,1,5,624
90,1,5,767
100,1,5,678
10,3,5,629
20,3,5,684.5
30,3,5,668
40,3,5,694.5
45,3,5,684
50,3,5,508.5
55,3,5,442.5
60,3,5,587
70,3,5,534
80,3,5,545.5
90,3,5,566
100,3,5,657
10,11,5,284
20,11,5,232
30,11,5,526
40,11,5,474
45,11,5,381
50,11,5,370
55,11,5,240
60,11,5,201
70,11,5,429
80,11,5,431
90,11,5,474
100,11,5,489
10,20,5,473
20,20,5,473
30,20,5,444
40,20,5,436
45,20,5,419
50,20,5,327
55,20,5,276
60,20,5,284
70,20,5,349
80,20,5,377
90,20,5,375
100,20,5,429
10,45,5,426
20,45,5,364
30,45,5,337
40,45,5,321
45,45,5,312
50,45,5,321
55,45,5,294
60,45,5,316
70,45,5,289
80,45,5,294
90,45,5,300
100,45,5,313
10,2,6,694
20,2,6,681
30,2,6,653
40,2,6,696
45,2,6,691
50,2,6,628
55,2,6,436
60,2,6,614
70,2,6,580
80,2,6,603
90,2,6,618
100,2,6,618
10,6,6,368
20,6,6,289.5
30,6,6,603
40,6,6,599.5
45,6,6,615
50,6,6,458.5
55,6,6,267
60,6,6,459.5
70,6,6,480
80,6,6,508
90,6,6,518
100,6,6,573.5
10,10,6,233
20,10,6,198
30,10,6,560
40,10,6,505
45,10,6,485
50,10,6,377
55,10,6,186
60,10,6,438
70,10,6,426
80,10,6,454
90,10,6,480
100,10,6,457
10,24,6,394
20,24,6,436
30,24,6,319
40,24,6,411
45,24,6,393
50,24,6,317
55,24,6,373
60,24,6,388
70,24,6,348
80,24,6,361
90,24,6,377
100,24,6,414
10,1,7,662
20,1,7,693
30,1,7,724
40,1,7,745
45,1,7,731
50,1,7,731
55,1,7,636
60,1,7,720
70,1,7,618
80,1,7,640
90,1,7,632
100,1,7,584
10,5,7,333
20,5,7,411.5
30,5,7,572.5
40,5,7,590
45,5,7,602.5
50,5,7,493
55,5,7,334
60,5,7,463
70,5,7,471
80,5,7,484
90,5,7,511.5
100,5,7,556
10,13,7,258
20,13,7,190
30,13,7,310
40,13,7,440
45,13,7,448
50,13,7,401
55,13,7,179
60,13,7,288
70,13,7,368
80,13,7,437
90,13,7,436
100,13,7,436
10,28,7,436
20,28,7,428
30,28,7,410
40,28,7,386
45,28,7,377
50,28,7,319
55,28,7,372
60,28,7,269
