@RELATION st1perf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
80,16,4,564
90,16,4,563
100,16,4,562
10,36,4,560
20,36,4,563
30,36,4,562
40,36,4,562
45,36,4,531
50,36,4,532
55,36,4,563
60,36,4,563
70,36,4,562
80,36,4,531
90,36,4,532
100,36,4,531
10,41,4,442
20,41,4,560
30,41,4,505
40,41,4,560
45,41,4,551
50,41,4,559
55,41,4,559
60,41,4,560
70,41,4,560
80,41,4,560
90,41,4,560
100,41,4,560
10,1,5,1982
20,1,5,1960
30,1,5,1616
40,1,5,1409
45,1,5,1232
50,1,5,1186
55,1,5,1089
60,1,5,1034
70,1,5,923
80,1,5,784
90,1,5,687
100,1,5,616
10,3,5,737
20,3,5,723.5
30,3,5,722
40,3,5,709
45,3,5,666.5
50,3,5,660
55,3,5,688
60,3,5,685.5
70,3,5,661
80,3,5,605.5
90,3,5,591
100,3,5,573
10,7,5,642
20,7,5,639
30,7,5,648
40,7,5,640
45,7,5,605
50,7,5,607
55,7,5,649
60,7,5,641
70,7,5,647
80,7,5,614
90,7,5,606
100,7,5,602
10,11,5,607
20,11,5,606
30,11,5,614
40,11,5,614
45,11,5,578
50,11,5,580
55,11,5,605
60,11,5,606
70,11,5,605
80,11,5,575
90,11,5,575
100,11,5,572
10,20,5,568
20,20,5,583
30,20,5,582
40,20,5,582
45,20,5,551
50,20,5,551
55,20,5,582
60,20,5,582
70,20,5,582
80,20,5,550
90,20,5,550
100,20,5,550
10,45,5,461
20,45,5,551
30,45,5,526
40,45,5,556
45,45,5,557
50,45,5,557
55,45,5,557
60,45,5,557
70,45,5,556
80,45,5,557
90,45,5,557
100,45,5,557
10,2,6,966
20,2,6,915
30,2,6,884
40,2,6,844
45,2,6,776
50,2,6,760
55,2,6,787
60,2,6,761
70,2,6,712
80,2,6,636
90,2,6,605
100,2,6,577
10,6,6,682.5
20,6,6,673
30,6,6,666
40,6,6,660.5
45,6,6,620
50,6,6,619
55,6,6,655.5
60,6,6,660.5
70,6,6,653.5
80,6,6,615
90,6,6,613
100,6,6,604
10,10,6,599
20,10,6,605
30,10,6,615
40,10,6,603
45,10,6,571
50,10,6,580
55,10,6,606
60,10,6,605
70,10,6,605
80,10,6,571
90,10,6,572
100,10,6,568
10,14,6,597
20,14,6,596
30,14,6,584
40,14,6,597
45,14,6,563
50,14,6,565
55,14,6,597
60,14,6,596
70,14,6,597
80,14,6,564
90,14,6,564
100,14,6,563
10,24,6,546
20,24,6,574
30,24,6,572
40,24,6,573
45,24,6,540
50,24,6,543
55,24,6,574
60,24,6,574
70,24,6,574
80,24,6,542
90,24,6,542
100,24,6,542
10,1,7,2292
20,1,7,1846
30,1,7,1588
40,1,7,1275
45,1,7,1242
50,1,7,1114
55,1,7,1054
60,1,7,991
70,1,7,843
80,1,7,751
90,1,7,656
100,1,7,587
10,5,7,756.5
20,5,7,735.5
30,5,7,726
40,5,7,709
45,5,7,662.5
50,5,7,658.5
55,5,7,692.5
60,5,7,688.5
70,5,7,681
80,5,7,626
90,5,7,621.5
100,5,7,604
10,9,7,614
20,9,7,605
30,9,7,614
40,9,7,613
45,9,7,582
50,9,7,572
55,9,7,607
60,9,7,607
70,9,7,608
80,9,7,574
90,9,7,573
100,9,7,572
10,13,7,589
20,13,7,595
30,13,7,596
40,13,7,593
45,13,7,564
50,13,7,564
55,13,7,596
60,13,7,596
70,13,7,596
80,13,7,564
90,13,7,558
100,13,7,563
10,18,7,583
20,18,7,582
30,18,7,579
40,18,7,582
45,18,7,551
50,18,7,550
55,18,7,583
60,18,7,583
70,18,7,583
80,18,7,551
90,18,7,551
100,18,7,550
10,28,7,568
20,28,7,567
30,28,7,566
40,28,7,567
45,28,7,536
50,28,7,537
55,28,7,568
60,28,7,568
70,28,7,568
80,28,7,537
90,28,7,537
100,28,7,535
10,4,8,850
20,4,8,823
30,4,8,794
40,4,8,773
45,4,8,732
50,4,8,710
55,4,8,746
60,4,8,727
70,4,8,710
80,4,8,651
90,4,8,628
100,4,8,608
10,8,8,632.5
20,8,8,624.5
30,8,8,634
40,8,8,627.5
45,8,8,582
50,8,8,578
55,8,8,619
60,8,8,614.5
70,8,8,614.5
80,8,8,576.5
90,8,8,578
100,8,8,572.5
10,12,8,595
20,12,8,595
30,12,8,596
40,12,8,589
45,12,8,563
50,12,8,562
55,12,8,594
60,12,8,594
70,12,8,596
80,12,8,565
90,12,8,563
100,12,8,562
10,17,8,577
20,17,8,582
30,17,8,581
40,17,8,582
45,17,8,550
50,17,8,551
55,17,8,582
60,17,8,582
70,17,8,582
80,17,8,550
90,17,8,551
100,17,8,550
10,32,8,560
20,32,8,563
30,32,8,563
40,32,8,563
45,32,8,525
50,32,8,531
55,32,8,563
60,32,8,563
70,32,8,562
80,32,8,563
90,32,8,533
100,32,8,532
10,3,9,1019
20,3,9,987
30,3,9,938
40,3,9,892
45,3,9,813
50,3,9,804
55,3,9,819
60,3,9,805
70,3,9,760
80,3,9,678
90,3,9,624
100,3,9,609
10,7,9,691
20,7,9,666
30,7,9,658
40,7,9,648
45,7,9,619
50,7,9,599
55,7,9,640
60,7,9,636
70,7,9,634
80,7,9,586
90,7,9,580
100,7,9,579
10,11,9,583
20,11,9,590
30,11,9,596
40,11,9,594
45,11,9,561
50,11,9,559
55,11,9,590
60,11,9,589
70,11,9,590
80,11,9,567
90,11,9,560
100,11,9,558
10,21,9,562
20,21,9,570
30,21,9,574
40,21,9,573
45,21,9,543
50,21,9,540
55,21,9,574
60,21,9,574
70,21,9,574
80,21,9,542
90,21,9,543
100,21,9,542
10,36,9,547
20,36,9,558
30,36,9,507
40,36,9,551
45,36,9,556
50,36,9,560
55,36,9,560
60,36,9,559
70,36,9,560
80,36,9,559
90,36,9,560
100,36,9,560
10,2,10,2175
20,2,10,1806
30,2,10,1570
40,2,10,1324
45,2,10,1229
50,2,10,1114
55,2,10,1053
60,2,10,979
70,2,10,881
80,2,10,745
90,2,10,668
100,2,10,610
10,6,10,736
20,6,10,716
30,6,10,688
40,6,10,687
45,6,10,635
50,6,10,633
55,6,10,671
60,6,10,662
70,6,10,653
80,6,10,601
90,6,10,594
100,6,10,579
10,10,10,633
20,10,10,595
30,10,10,604
40,10,10,599
45,10,10,561
50,10,10,560
55,10,10,594
60,10,10,598
70,10,10,592
80,10,10,561
90,10,10,560
100,10,10,555
10,15,10,582
20,15,10,582
30,15,10,581
40,15,10,583
45,15,10,550
50,15,10,550
55,15,10,582
60,15,10,583
70,15,10,582
80,15,10,551
90,15,10,550
100,15,10,550
10,20,10,568
20,20,10,574
30,20,10,574
40,20,10,573
45,20,10,538
50,20,10,541
55,20,10,574
60,20,10,574
70,20,10,574
80,20,10,542
90,20,10,542
100,20,10,541
10,25,10,567
20,25,10,567
30,25,10,567
40,25,10,567
45,25,10,538
50,25,10,535
55,25,10,567
60,25,10,568
70,25,10,567
80,25,10,536
90,25,10,536
100,25,10,536
10,40,10,474
20,40,10,557
30,40,10,488
40,40,10,545
45,40,10,522
50,40,10,557
55,40,10,557
60,40,10,557
70,40,10,557
80,40,10,557
90,40,10,557
100,40,10,557
10,5,11,802
20,5,11,770
30,5,11,747
40,5,11,720
45,5,11,661
50,5,11,668
55,5,11,694
60,5,11,682
70,5,11,670
80,5,11,611
90,5,11,594
100,5,11,580
10,9,11,646
20,9,11,632
30,9,11,629
40,9,11,624
45,9,11,592
50,9,11,586
55,9,11,612
60,9,11,609
70,9,11,603
80,9,11,565
90,9,11,568
100,9,11,557
10,14,11,573
20,14,11,579
30,14,11,582
40,14,11,581
45,14,11,551
50,14,11,550
55,14,11,583
60,14,11,582
70,14,11,583
80,14,11,551
90,14,11,551
100,14,11,550
10,4,12,874
20,4,12,837
30,4,12,809
40,4,12,760
45,4,12,720
50,4,12,706
55,4,12,738
60,4,12,718
70,4,12,693
80,4,12,626
90,4,12,602
100,4,12,578
10,8,12,676
20,8,12,679
30,8,12,660
40,8,12,641
45,8,12,597
50,8,12,595
55,8,12,631
60,8,12,625
70,8,12,617
80,8,12,577
90,8,12,568
100,8,12,557
10,13,12,580
20,13,12,587
30,13,12,582
40,13,12,582
45,13,12,550
50,13,12,549
55,13,12,583
60,13,12,583
70,13,12,583
80,13,12,551
90,13,12,551
100,13,12,551
10,18,12,509
20,18,12,573
30,18,12,566
40,18,12,573
45,18,12,542
50,18,12,541
55,18,12,574
60,18,12,574
70,18,12,574
80,18,12,542
90,18,12,543
100,18,12,541
10,23,12,563
20,23,12,567
30,23,12,568
40,23,12,567
45,23,12,535
50,23,12,536
55,23,12,568
60,23,12,568
70,23,12,567
80,23,12,536
90,23,12,536
100,23,12,536
10,28,12,563
20,28,12,563
30,28,12,562
40,28,12,563
45,28,12,514
50,28,12,533
55,28,12,564
60,28,12,563
70,28,12,563
80,28,12,563
90,28,12,563
100,28,12,532
10,7,13,733
20,7,13,697
30,7,13,683
40,7,13,661
45,7,13,621
50,7,13,619
55,7,13,651
60,7,13,642
70,7,13,629
80,7,13,588
90,7,13,571
100,7,13,559
10,12,13,610
20,12,13,603
30,12,13,597
40,12,13,591
45,12,13,557
50,12,13,563
55,12,13,590
60,12,13,588
70,12,13,589
80,12,13,555
90,12,13,552
100,12,13,549
10,17,13,573
20,17,13,572
30,17,13,574
40,17,13,574
45,17,13,543
50,17,13,542
55,17,13,574
60,17,13,574
70,17,13,573
80,17,13,543
90,17,13,543
100,17,13,541
10,32,13,473
20,32,13,558
30,32,13,508
40,32,13,560
45,32,13,518
50,32,13,559
55,32,13,559
60,32,13,560
70,32,13,560
80,32,13,560
90,32,13,560
100,32,13,560
10,2,14,2195
20,2,14,1798
30,2,14,1539
40,2,14,1300
45,2,14,1185
50,2,14,1098
55,2,14,1027
60,2,14,972
70,2,14,843
80,2,14,721
90,2,14,640
100,2,14,580
10,6,14,774
20,6,14,738
30,6,14,720
40,6,14,703
45,6,14,666
50,6,14,646
55,6,14,673
60,6,14,662
70,6,14,643
80,6,14,593
90,6,14,576
100,6,14,560
10,21,14,565
20,21,14,567
30,21,14,568
40,21,14,568
45,21,14,538
50,21,14,536
55,21,14,567
60,21,14,567
70,21,14,568
80,21,14,536
90,21,14,536
100,21,14,537
10,26,14,564
20,26,14,564
30,26,14,563
40,26,14,564
45,26,14,533
50,26,14,532
55,26,14,563
60,26,14,563
70,26,14,563
80,26,14,563
90,26,14,563
